Scenario,Task,Domain,ASSProjectedMs,TwoCloudProjectedMs,ASSOverTwoCloud,ThreeShareProjectedMs,ThreeShareOverASS,SecureNNProjectedMs,SecureNNOverASS,ASSProjectedQPS,ASSComputeSharePct,ASSNetworkSharePct
metropolitan_edge,Diabetes,medical,23.121325087049392,22.13910143448619,1.0443660125714582,26.769124487944758,1.1577677484816193,240.02820416666665,10.381247755610257,43.25011634216913,0.10817550634630702,99.89182449365369
metropolitan_edge,Digits,general,52.525154953703705,43.29677599537037,1.2131424048598933,90.760035625,1.7279346573084262,480.04122083333334,9.139263296918351,19.038496904605267,0.010706686555538015,99.98929331344446
metropolitan_edge,Fashion,general,2449.2007071166668,2028.0579835183332,1.207658127637812,5104.230481778333,2.0840392814467674,2020.4121385416668,0.8249271416062127,0.40829646875990605,6.076948542199522e-05,99.99993923051458
metropolitan_edge,Heart,medical,22.174416762152777,21.513197074652776,1.0307355380609171,24.698955572916667,1.1138491640092543,280.0280233333333,12.628427901259808,45.09701475922455,0.1446837502961366,99.85531624970386
metropolitan_edge,Liver,medical,21.335231847259962,20.91180279570501,1.0202483284531507,22.910515424969805,1.0738348469324064,160.02578697916667,7.500541270176937,46.87082883181454,0.13915881151428303,99.86084118848572
metropolitan_edge,MNIST,general,2449.200744503333,2028.0603050983334,1.2076567636308921,5104.230554018333,2.0840392791295703,2020.8712552083334,0.8251145847247161,0.4082964625273243,6.229596886892736e-05,99.99993770403114
metropolitan_edge,Medical,medical,24.679423129111843,23.42674926672149,1.0534719456006565,30.045165168128655,1.2174176442838887,560.0290854166667,22.69214650953719,40.51958567947239,0.07114386201406311,99.92885613798593
metropolitan_edge,Wine,general,21.383522554976853,20.962359678819446,1.0200913867813723,22.97406377314815,1.0743816279138307,280.0425731481481,13.096185272008437,46.76497978427121,0.25335793816273083,99.74664206183726
regional_cloud,Diabetes,medical,56.21763856361189,54.25763170792369,1.036124076816312,63.50496433169476,1.1296270344019705,520.0282041666667,9.250267664271234,17.788011477367036,0.04449068144082577,99.95550931855917
regional_cloud,Digits,general,115.0446862037037,96.58779162037037,1.1910893113270102,191.51198875,1.6646747891588802,1000.0412208333333,8.692632870175435,8.692274567374207,0.004888277667815183,99.99511172233218
regional_cloud,Fashion,general,4908.399925866666,4066.1146241433335,1.2071474563757014,10218.458997403333,2.0818309737870595,4080.4121385416665,0.8313120772898709,0.20373238022642012,3.0322848364966282e-05,99.99996967715165
regional_cloud,Heart,medical,54.31675074652778,52.99635137152778,1.0249149109481788,59.34983447916667,1.092661723381173,600.0280233333333,11.046832056162533,18.41052688638459,0.05906608428676798,99.94093391571323
regional_cloud,Liver,medical,52.64077383944746,51.796202209767515,1.0163056670884778,55.77428495621981,1.0595263117964309,360.0257869791667,6.83929510757636,18.996681223759463,0.05640087123912123,99.94359912876088
regional_cloud,MNIST,general,4908.399963253333,4066.116945723333,1.2071467763404833,10218.459069643333,2.081830972647641,4080.8712552083334,0.8314056078884603,0.20373237867461613,3.108453558707245e-05,99.99996891546441
regional_cloud,Medical,medical,59.34128836348684,56.836173094846494,1.044076072195429,70.06469641812865,1.180707368349623,1160.0290854166667,19.54843107401156,16.851673220753796,0.029587990454965612,99.97041200954504
regional_cloud,Wine,general,52.71286825810185,51.874224913194446,1.0161668602530598,55.874454398148146,1.0599775015953599,600.0425731481482,11.383227530137729,18.970699812873534,0.10277727932880032,99.89722272067121
cross_region_cloud,Diabetes,medical,112.4102655167369,108.4946922547987,1.0360899983267617,126.97664401919477,1.1295822800123985,1040.0282041666667,9.252074971852243,8.895984680786194,0.02225029037331771,99.97774970962668
cross_region_cloud,Digits,general,230.0837487037037,193.16982287037035,1.1910957171509393,383.015895,1.6646803486031456,2000.0412208333332,8.69266617960462,4.346243511912594,0.002444198573514105,99.9975558014265
cross_region_cloud,Fashion,general,9816.798363366666,8132.2279053933335,1.2071474726939364,20436.916028653333,2.0818310891377525,8160.4121385416665,0.8312702203392367,0.10186620555757758,1.5161426481171321e-05,99.99998483857352
cross_region_cloud,Heart,medical,108.60141871527777,105.96265996527778,1.0249027228163645,118.65159229166667,1.0925418258368946,1200.0280233333333,11.049837447146686,9.20798284064518,0.029541766725801027,99.9704582332742
cross_region_cloud,Liver,medical,105.25185782382246,103.56500103789251,1.0162879039156554,111.5018240187198,1.0593810534476165,720.0257869791667,6.84097936004506,9.501019940891364,0.028208390508565294,99.97179160949145
cross_region_cloud,MNIST,general,9816.798400753334,8132.230226973334,1.2071471326761694,20436.916100893333,2.0818310885680424,8160.871255208333,0.831316985645959,0.10186620516962645,1.554227020915748e-05,99.9999844577298
cross_region_cloud,Medical,medical,118.66501883223684,113.65502075109649,1.0440807458221508,140.10375891812865,1.1806660488227025,2320.029085416667,19.551078390647017,8.427083312679992,0.014796184174263396,99.98520381582574
cross_region_cloud,Wine,general,105.37155966435185,103.69795538194444,1.0161392216099452,111.67523564814815,1.059823314790783,1200.0425731481482,11.388676194703166,9.490226804892867,0.05141506116491542,99.94858493883508
iot_gateway,Diabetes,medical,60.98814637611189,51.20587389542369,1.1910380926349633,97.39168308169475,1.5968952799628218,1720.0282041666667,28.202664064575917,16.396628843792577,0.04101060939390683,99.95898939060609
iot_gateway,Digits,general,355.2009362037037,262.91591662037035,1.351005830189374,737.52761375,2.0763673137590954,4120.041220833333,11.599184576671655,2.815307894984014,0.0015832457436087877,99.9984167542564
iot_gateway,Fashion,general,24321.993675866666,20110.567749143334,1.2094135769440288,50872.28712240333,2.09161665776112,19520.412138541666,0.8025827322663381,0.04111505057220055,6.119427076997756e-06,99.99999388057293
iot_gateway,Heart,medical,51.455422621527774,44.86158574652778,1.1469818055976844,76.55686572916667,1.4878289173187556,2120.0280233333333,41.20125567574995,19.43429767073029,0.062350625343722425,99.93764937465629
iot_gateway,Liver,medical,43.08510977694746,38.871397522267515,1.1084013573802207,58.6844412062198,1.3620585281093727,920.0257869791667,21.353683250249563,23.209874714884595,0.0689097816534965,99.93109021834651
iot_gateway,MNIST,general,24321.993713253334,20110.570070723334,1.2094134391874314,50872.28719464333,2.091616657516133,19520.871255208334,0.8026016076375839,0.041115050509000356,6.273142536427566e-06,99.99999372685747
iot_gateway,Medical,medical,76.63621023848684,64.11156371984649,1.195357058726103,130.22094641812868,1.6992091077167004,4920.029085416667,64.19979628567044,13.048661943069286,0.02291070328530481,99.9770892967147
iot_gateway,Wine,general,43.34763388310185,39.169146788194446,1.1066780217986978,59.077579398148146,1.3628789879850463,2120.042573148148,48.90791914653043,23.06930991197258,0.1249822585425396,99.87501774145747
