Task,Domain,Method,Status,EvalSamples,TimingSamples,Repeats,AccMean,AccStd,AccCI95Low,AccCI95High,AccDropVsPlain,PerSampleMsMean,PerSampleMsStd,TimeCI95Low,TimeCI95High,ThroughputMean,OnlineCommMB,OfflineSetupMB,LinearPct,ReLUPct,SeedMode,SeedsUsed,ImplementationScope,ComparisonRole,CommMeasurementBasis,Parties,InteractionRounds,DataSplit,ModelSplit,SinglePointDataExposure,SinglePointModelExposure,MinCollusionInput,MinCollusionModel,CommType,Evidence,Error
Heart,medical,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,multi_seed_train_repeats,"42,52,62",sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
Liver,medical,2Cloud-D (Data-only),SUCCESS,69,69,3,0.7101449275362319,0.014492753623188415,0.6937448329331642,0.7265450221392996,0.0,0.02740338164251208,0.00289967816237503,0.024122086905995495,0.030684676379028664,36491.84662847069,0.0221099853515625,0.0,43.80184398976078,56.19815601023921,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
Liver,medical,ASS (Ours),SUCCESS,69,69,3,0.7101449275362319,0.014492753623188415,0.6937448329331642,0.7265450221392996,0.0,0.029689855072463772,0.0008043164897930368,0.02877968528234827,0.030600024862579275,33681.53861173484,0.0326385498046875,0.00028228759765625,52.86793440465713,47.13206559534287,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
Liver,medical,3Share-DM (3-party),SUCCESS,69,69,3,0.7101449275362319,0.014492753623188415,0.6937448329331642,0.7265450221392996,0.0,0.046745893719806766,0.012024469235416365,0.033138925841943945,0.06035286159766959,21392.253317349427,0.07159423828125,0.0005645751953125,61.499958516636944,38.500041483363056,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
Liver,medical,SecureNN (3PC),SUCCESS,69,64,3,0.7053140096618358,0.008367395205646787,0.6958454106280193,0.7147826086956522,0.004830917874396157,0.025786979166666668,0.0008077283765031,0.024872948463278588,0.026701009870054748,38779.261174284504,2.0,0.0005645751953125,57.50899845395414,42.491001546045844,multi_seed_train_repeats,"42,52,62",simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
Liver,medical,CKKS (HE),SKIPPED,,,0,,,,,,,,,,,,,,,multi_seed_train_repeats,"42,52,62",micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
Liver,medical,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,multi_seed_train_repeats,"42,52,62",sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
MNIST,general,2Cloud-D (Data-only),SUCCESS,5000,5000,3,0.9445333333333333,0.005367805262240173,0.9384590898596341,0.9506075768070326,6.666666666665932e-05,0.003664473333333333,0.003978913197360973,0.0,0.008167037480267217,272890.5108692291,50.201416015625,0.0,44.346945230015656,55.653054769984344,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
MNIST,general,ASS (Ours),SUCCESS,5000,5000,3,0.9445333333333333,0.00555817715922523,0.938243663778332,0.9508230028883347,6.666666666665932e-05,0.0015257533333333335,3.3555979099607955e-05,0.0014877811683438164,0.0015637254983228506,655413.9375958542,60.72998046875,0.38822174072265625,62.83544249434835,37.16455750565165,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
MNIST,general,3Share-DM (3-party),SUCCESS,5000,5000,3,0.9444666666666667,0.005594044452212818,0.9381364094487928,0.9507969238845405,0.00013333333333331865,0.0020383933333333335,8.490651172515173e-05,0.0019423125704284153,0.0021344740962382517,490582.45219274,127.105712890625,0.7764434814453125,67.40129505892872,32.59870494107129,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
