Seed,Task,Domain,Method,Status,EvalSamples,TimingSamples,Repeats,AccMean,AccStd,AccCI95Low,AccCI95High,AccDropVsPlain,PerSampleMsMean,PerSampleMsStd,TimeCI95Low,TimeCI95High,ThroughputMean,OnlineCommMB,OfflineSetupMB,LinearPct,ReLUPct,SeedMode,SeedsUsed,ImplementationScope,ComparisonRole,CommMeasurementBasis,Parties,InteractionRounds,DataSplit,ModelSplit,SinglePointDataExposure,SinglePointModelExposure,MinCollusionInput,MinCollusionModel,CommType,Evidence,Error
42,Diabetes,medical,SecureNN (3PC),SUCCESS,89,64,1,0.7640449438202247,0.0,,,0.0,0.028728125,0.0,,,34809.09387577505,4.0,0.0016021728515625,57.80954184021204,42.19045815978795,single_seed_reference,,simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
42,Diabetes,medical,CKKS (HE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
42,Diabetes,medical,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
42,Heart,medical,2Cloud-D (Data-only),SUCCESS,60,60,1,0.8333333333333334,0.0,,,0.0,0.028421666666666668,0.0,,,35184.42502785433,0.037078857421875,0.0,43.57492777289285,56.425072227107144,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
42,Heart,medical,ASS (Ours),SUCCESS,60,60,1,0.8333333333333334,0.0,,,0.0,0.032945,0.0,,,30353.619669145544,0.053558349609375,0.00098419189453125,54.671243162072294,45.328756837927706,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
42,Heart,medical,3Share-DM (3-party),SUCCESS,60,60,1,0.8333333333333334,0.0,,,0.0,0.047485,0.0,,,21059.281878487946,0.11627197265625,0.0019683837890625,67.93998915466652,32.060010845333494,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
42,Heart,medical,SecureNN (3PC),SUCCESS,60,60,1,0.8333333333333334,0.0,,,0.0,0.028865,0.0,,,34644.03256539061,5.0,0.0019683837890625,58.52455907453062,41.475440925469364,single_seed_reference,,simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
42,Heart,medical,CKKS (HE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
42,Heart,medical,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
42,Digits,general,2Cloud-D (Data-only),SUCCESS,360,360,1,0.95,0.0,,,0.0,0.004923611111111111,0.0,,,203102.96191819463,0.582275390625,0.0,41.7265311092171,58.27346889078291,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
42,Digits,general,ASS (Ours),SUCCESS,360,360,1,0.95,0.0,,,0.0,0.0053825,0.0,,,185787.27357176034,0.81298828125,0.00919342041015625,53.46471710108074,46.53528289891926,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
42,Digits,general,3Share-DM (3-party),SUCCESS,360,360,1,0.95,0.0,,,0.0,0.007980555555555555,0.0,,,125304.55969369998,1.768798828125,0.0183868408203125,63.50616629094284,36.493833709057164,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
42,Digits,general,SecureNN (3PC),SUCCESS,360,64,1,0.9527777777777777,0.0,,,-0.002777777777777768,0.0419140625,0.0,,,23858.34109972041,10.0,0.0183868408203125,61.63299312643199,38.367006873568,single_seed_reference,,simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
42,Digits,general,CKKS (HE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
42,Digits,general,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
42,Liver,medical,2Cloud-D (Data-only),SUCCESS,69,69,1,0.7246376811594203,0.0,,,0.0,0.025953623188405796,0.0,,,38530.265802993075,0.0221099853515625,0.0,47.280122013218104,52.719877986781896,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
42,Liver,medical,ASS (Ours),SUCCESS,69,69,1,0.7246376811594203,0.0,,,0.0,0.030357971014492755,0.0,,,32940.27784408268,0.0326385498046875,0.00028228759765625,49.957535151457954,50.042464848542046,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
42,Liver,medical,3Share-DM (3-party),SUCCESS,69,69,1,0.7246376811594203,0.0,,,0.0,0.0398536231884058,0.0,,,25091.82152078257,0.07159423828125,0.0005645751953125,59.22420070166148,40.77579929833852,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
42,Liver,medical,SecureNN (3PC),SUCCESS,69,64,1,0.7101449275362319,0.0,,,0.01449275362318836,0.0262765625,0.0,,,38056.72831063804,2.0,0.0005645751953125,59.900940058627306,40.09905994137269,single_seed_reference,,simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
